ticker_base;ticker_b3_11;fundo_b3;razao_social_b3;duplicidade_ticker_b3;match_metodo;match_score;confianca;id_registro_fundo;cnpj_fundo;codigo_cvm_fundo;tipo_fundo_cvm;denominacao_fundo_cvm;situacao_fundo_cvm;data_registro_fundo;data_cancelamento_fundo;administrador_fundo;gestor_fundo;patrimonio_liq_fundo_cadastro;data_patrimonio_fundo_cadastro;id_registro_classe;cnpj_classe;codigo_cvm_classe;tipo_classe_cvm;denominacao_classe_cvm;situacao_classe_cvm;classificacao_classe;forma_condominio_classe;publico_alvo_classe;patrimonio_liq_classe_cadastro;data_patrimonio_classe_cadastro;auditor_classe;custodiante_classe;cad_fi_match_metodo;cad_fi_cnpj;cad_fi_situacao;cad_fi_classe_anbima;inf_diario_dt_competencia;inf_diario_vl_total;inf_diario_vl_quota;inf_diario_vl_patrim_liq;inf_diario_captc_dia;inf_diario_resg_dia;inf_diario_nr_cotistas;observacao_pendencia
ADSH;ADSH11;FII ADSH;AD SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;2250;63.375.304/0001-53;325222;FII;AD SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-10-27;;OLIVEIRA TRUST DTVM S.A.;CAPITANIA CAPITAL S.A.;;;35276;63.375.304/0001-53;13600;Classes de Cotas de Fundos FII;AD SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;466696777.25;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;OLIVEIRA TRUST DTVM S.A.;;;;;;;;;;;;sem_inf_diario_202605
AFHI;AFHI11;FII AFHI CRI;AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1197;36.642.293/0001-58;320100;FII;AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2020-10-20;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;AF INVEST REAL ESTATE ADMINISTRAÇÃO DE RECURSOS LTDA;430040925.86;2025-04-30;34497;36.642.293/0001-58;5380;Classes de Cotas de Fundos FII;AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;455471231.44;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
AFHF;AFHF11;FII AFHF;AF INVEST REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;2068;60.077.386/0001-61;325041;FII;AF INVEST REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-03-25;;BANCO DAYCOVAL S.A.;AF INVEST REAL ESTATE ADMINISTRAÇÃO DE RECURSOS LTDA;;;35109;60.077.386/0001-61;4456;Classes de Cotas de Fundos FII;AF INVEST REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;51159826.16;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
ATWN;ATWN11;FII A TOWN;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO - FII;NÃO;classe_exata;1.0;Alta;911;27.773.327/0001-52;317074;FII;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Em Funcionamento Normal;2017-09-22;;ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;GIAA Investimentos Gestora de Recursos Ltda.;337161064.34;2025-05-31;34309;27.773.327/0001-52;9954;Classes de Cotas de Fundos FII;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Em Funcionamento Normal;;Fechado;;326047969.47;2026-03-31;NOVA MASTER AUDITORES INDEPENDENTES;;;;;;;;;;;;;sem_inf_diario_202605
AJFI;AJFI11;FII AJ MALLS;AJ MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1671;51.472.985/0001-99;323076;FII;AJ MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2023-07-18;;XP INVESTIMENTOS CCTVM S.A.;CAPITANIA CAPITAL S.A.;384542682.67;2025-05-31;34809;51.472.985/0001-99;12033;Classes de Cotas de Fundos FII;AJ MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;372202311.34;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;OLIVEIRA TRUST DTVM S.A.;;;;;;;;;;;;sem_inf_diario_202605
ALZC;ALZC11;FII ALIANZAC;ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1278;40.011.324/0001-40;321072;FII;ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2021-06-16;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;ALIANZA GESTÃO DE RECURSOS LTDA;195840861.90;2025-03-31;34551;40.011.324/0001-40;5053;Classes de Cotas de Fundos FII;ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;182987415.91;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO BTG PACTUAL S/A;nome_exato;43.009.201/0001-62;CANCELADA;;;;;;;;;sem_inf_diario_202605
MTOF;MTOF11;FII MULT OF1;ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;791;22.862.226/0001-34;319077;FII;ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2019-11-18;;OLIVEIRA TRUST DTVM S.A.;ALIANZA GESTÃO DE RECURSOS LTDA;133669743.78;2025-05-31;34253;22.862.226/0001-34;8010;Classes de Cotas de Fundos FII;ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;85226807.55;2026-03-31;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;OLIVEIRA TRUST DTVM S.A.;;;;;;;;;;;;sem_inf_diario_202605
ALZR;ALZR11;FII ALIANZA;ALIANZA TRUST RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;942;28.737.771/0001-85;317081;FII;ALIANZA TRUST RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2017-10-20;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;ALIANZA GESTÃO DE RECURSOS LTDA;1274128693.80;2025-04-30;34323;28.737.771/0001-85;6270;Classes de Cotas de Fundos FII;ALIANZA TRUST RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;1486717530.70;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
AURB;AURB11;FII ALI URB;ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1320;41.076.823/0001-88;321186;FII;ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2021-12-14;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;ALIANZA GESTÃO DE RECURSOS LTDA;65408945.40;2025-04-30;34576;41.076.823/0001-88;6432;Classes de Cotas de Fundos FII;ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;87859996.94;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
APXM;APXM11;FII APEX MS;APEX MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1433;43.010.485/0001-07;322091;FII;APEX MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2022-07-19;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BRM CARBYNE GESTÃO DE RECURSOS LTDA.;349217182.13;2025-03-31;34645;43.010.485/0001-07;5177;Classes de Cotas de Fundos FII;APEX MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;298530306.82;2026-03-31;;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
